#Organism/Name,BioProject,Group,SubGroup,Size (Mb),GC%,Chromosomes/RefSeq,Chromosomes/INSDC,Plasmids/RefSeq,Plasmids/INSDC,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Status
Listeria monocytogenes J1816,PRJNA179734,Firmicutes,Bacilli,2.94746,38,NC_021829.1,CP006046.1,-,-,-,1,2934,2794,7/16/2013,9/6/2013,Complete
Clavibacter michiganensis subsp. nebraskensis NCPPB 2581,PRJNA195908,Actinobacteria,Actinobacteria,3.0636,73,NC_020891.1,HE614873.1,-,-,-,1,2936,2817,4/1/2013,6/11/2013,Complete
Corynebacterium glutamicum MB001,PRJNA214793,Actinobacteria,Actinobacteria,3.07925,54.2,NC_022040.1,CP005959.1,-,-,-,1,2940,2782,8/8/2013,1/30/2014,Complete
Alkalilimnicola ehrlichii MLHE-1,PRJNA58467,Proteobacteria,Gammaproteobacteria,3.27594,67.5,NC_008340.1,CP000453.1,-,-,-,1,2940,2865,9/12/2006,1/28/2014,Complete
Eubacterium rectale DSM 17629,PRJNA197161,Firmicutes,Clostridia,3.34495,41.6,NC_021010.1,FP929042.1,-,-,-,1,2940,2892,3/25/2010,8/27/2013,Complete
Cyanobacterium stanieri PCC 7202,PRJNA183337,Cyanobacteria,Oscillatoriophycideae,3.16338,38.7,NC_019778.1,CP003940.1,-,-,-,1,2941,2837,12/7/2012,7/17/2013,Complete
Exiguobacterium antarcticum B7,PRJNA176125,Firmicutes,Bacilli,2.81586,47.5,NC_018665.1,CP003063.1,-,-,-,1,2941,2772,9/27/2012,7/7/2013,Complete
Synechococcus sp. JA-2-3B'a(2-13),PRJNA58537,Cyanobacteria,Oscillatoriophycideae,3.04668,58.5,NC_007776.1,CP000240.1,-,-,-,1,2942,2862,2/6/2006,6/10/2013,Complete
Thioalkalivibrio sp. K90mix,PRJNA46181,Proteobacteria,Gammaproteobacteria,2.98506,65.562,NC_013889.1,CP001905.1,NC_013930.1,CP001906.1,-,2,2943,2855,2/17/2010,1/28/2014,Complete
Synechococcus sp. CC9311,PRJNA58123,Cyanobacteria,Oscillatoriophycideae,2.60675,52.4,NC_008319.1,CP000435.1,-,-,-,1,2944,2892,9/1/2006,6/10/2013,Complete
Listeria monocytogenes WSLC1042,PRJNA236791,Firmicutes,Bacilli,2.94217,38,-,CP007210.1,-,-,-,1,2945,2824,2/14/2014,2/14/2014,Complete
Staphylococcus aureus subsp. aureus Z172,PRJNA225604,Firmicutes,Bacilli,3.0183,32.798,NC_022604.1,CP006838.1,"NC_022610.1,NC_022605.1","CP006839.1,CP006840.1",-,3,2948,2870,10/29/2013,12/17/2013,Complete
Lactobacillus casei str. Zhang,PRJNA50673,Firmicutes,Bacilli,2.89833,46.4194,NC_014334.1,CP001084.1,NC_011352.1,CP000935.1,-,2,2949,2847,10/8/2008,6/7/2013,Complete
Listeria monocytogenes SLCC5850,PRJEA175110,Firmicutes,Bacilli,2.90714,38,NC_018592.1,FR733647.1,-,-,-,1,2950,2865,9/10/2012,8/28/2013,Complete
Listeria monocytogenes ATCC 19117,PRJEA175109,Firmicutes,Bacilli,2.9518,38,NC_018584.1,FR733643.1,-,-,-,1,2953,2868,9/10/2012,6/27/2013,Complete
Anoxybacillus flavithermus WK1,PRJNA59135,Firmicutes,Bacilli,2.84675,41.8,NC_011567.1,CP000922.1,-,-,-,1,2954,2831,11/13/2008,6/10/2013,Complete
Butyrivibrio fibrisolvens 16/4,PRJNA197155,Firmicutes,Clostridia,3.16439,38.6,NC_021031.1,FP929036.1,-,-,-,1,2954,2892,3/25/2010,8/27/2013,Complete
Listeria monocytogenes SLCC2378,PRJEA175105,Firmicutes,Bacilli,2.94136,38,NC_018585.1,FR733644.1,-,-,-,1,2958,2874,9/10/2012,6/27/2013,Complete
Acidithiobacillus ferrooxidans ATCC 53993,PRJNA58613,Proteobacteria,Gammaproteobacteria,2.88504,58.9,NC_011206.1,CP001132.1,-,-,-,1,2959,2826,9/5/2008,1/28/2014,Complete
Clostridium acidurici 9a,PRJNA176126,Firmicutes,Clostridia,3.10825,29.899,NC_018664.1,CP003326.1,NC_018657.1,CP003327.1,-,2,2960,2842,9/27/2012,1/30/2014,Complete
Enterococcus faecalis DENG1,PRJNA187445,Firmicutes,Bacilli,2.96104,37.5,-,CP004081.1,-,-,-,1,2964,2884,2/5/2014,2/5/2014,Complete
Rhodothermus marinus DSM 4252,PRJNA41729,Bacteroidetes/Chlorobi group,Bacteroidetes,3.38674,64.2672,NC_013501.1,CP001807.1,NC_013502.1,CP001808.1,-,2,2965,2863,11/3/2009,12/11/2013,Complete
Rhodothermus marinus SG0.5JP17-172,PRJNA72767,Bacteroidetes/Chlorobi group,Bacteroidetes,3.33412,64.2484,NC_015966.1,CP003029.1,"NC_015970.1,NC_015967.1","CP003030.1,CP003031.1",-,3,2968,2838,8/31/2011,7/22/2013,Complete
Listeria monocytogenes serotype 4b str. CLIP 80459,PRJNA59317,Firmicutes,Bacilli,2.91269,38.1,NC_012488.1,FM242711.1,-,-,-,1,2972,2766,3/30/2009,6/10/2013,Complete
Lactobacillus rhamnosus ATCC 8530,PRJNA162169,Firmicutes,Bacilli,2.96034,46.8,NC_017491.1,CP003094.1,-,-,-,1,2977,2886,11/3/2011,6/11/2013,Complete
Pelodictyon phaeoclathratiforme BU-1,PRJNA58173,Bacteroidetes/Chlorobi group,Chlorobi,3.01824,48.1,NC_011060.1,CP001110.1,-,-,-,1,2977,2707,7/18/2008,1/28/2014,Complete
Pelotomaculum thermopropionicum SI,PRJNA58877,Firmicutes,Clostridia,3.02537,53,NC_009454.1,AP009389.1,-,-,-,1,2977,2919,5/8/2007,6/10/2013,Complete
Methylovorus glucosetrophus SIP3-4,PRJNA59367,Proteobacteria,Betaproteobacteria,3.08201,54.6472,NC_012969.1,CP001674.1,"NC_012972.1,NC_012970.1","CP001676.1,CP001675.1",-,3,2978,2909,7/15/2009,1/28/2014,Complete
Staphylococcus aureus subsp. aureus TW20,PRJNA159241,Firmicutes,Bacilli,3.07581,32.7972,NC_017331.1,FN433596.1,"NC_017332.1,NC_017352.1","FN433598.1,FN433597.1",-,3,2981,2806,11/25/2009,6/8/2013,Complete
Legionella pneumophila subsp. pneumophila ATCC 43290,PRJNA86885,Proteobacteria,Gammaproteobacteria,3.359,38.2,NC_016811.1,CP003192.1,-,-,-,1,2981,2926,12/21/2011,1/30/2014,Complete
Legionella oakridgensis ATCC 33761 = DSM 21215,PRJNA183980,Proteobacteria,Gammaproteobacteria,2.77321,40.8801,-,CP004006.1,-,CP004007.1,-,2,2983,2932,12/31/2013,12/31/2013,Complete
Lactobacillus rhamnosus GG,PRJNA59313,Firmicutes,Bacilli,3.01011,46.7,NC_013198.1,FM179322.1,-,-,-,1,2985,2913,9/2/2009,6/10/2013,Complete
Alkaliphilus oremlandii OhILAs,PRJNA58495,Firmicutes,Clostridia,3.12356,36.3,NC_009922.1,CP000853.1,-,-,-,1,2990,2836,10/11/2007,12/11/2013,Complete
Listeria monocytogenes SLCC2540,PRJEA175106,Firmicutes,Bacilli,2.97696,37.9,NC_018586.1,FR733645.1,-,-,-,1,2992,2907,9/10/2012,6/27/2013,Complete
Corynebacterium glutamicum K051,PRJNA193708,Actinobacteria,Actinobacteria,3.3094,53.8,NC_020519.1,HE802067.1,-,-,-,1,2992,2992,4/20/2012,6/11/2013,Complete
Listeria monocytogenes L99,PRJEA161953,Firmicutes,Bacilli,2.9792,38.2,NC_017529.1,FM211688.1,-,-,-,1,2993,2925,9/22/2010,6/27/2013,Complete
Listeria monocytogenes FSL R2-561,PRJNA54441,Firmicutes,Bacilli,2.9738,38,NC_017546.1,CP002003.1,-,-,-,1,2995,2910,9/13/2011,11/22/2013,Complete
Enterococcus faecium Aus0004,PRJNA87025,Firmicutes,Bacilli,3.01978,38.3424,NC_017022.1,CP003351.1,"NC_017024.1,NC_017023.1,NC_017032.1","CP003354.1,CP003353.1,CP003352.1",-,4,2997,2932,3/1/2012,6/8/2013,Complete
Lactobacillus rhamnosus LOCK908,PRJNA210958,Firmicutes,Bacilli,2.9909,46.8,NC_021725.1,CP005485.1,-,-,-,1,2999,2924,7/8/2013,1/30/2014,Complete
Legionella pneumophila subsp. pneumophila str. Philadelphia 1,PRJNA57609,Proteobacteria,Gammaproteobacteria,3.39775,38.3,NC_002942.5,AE017354.1,-,-,-,1,3003,2943,10/15/2001,1/30/2014,Complete
Gallionella capsiferriformans ES-2,PRJNA51505,Proteobacteria,Betaproteobacteria,3.16247,52.8,NC_014394.1,CP002159.1,-,-,-,1,3007,2894,8/11/2010,1/2/2014,Complete
Listeria monocytogenes serotype 7 str. SLCC2482,PRJEA174871,Firmicutes,Bacilli,2.98679,37.9581,NC_018591.1,FR720325.1,NC_018888.1,FR667690.1,-,2,3014,2929,9/8/2010,6/27/2013,Complete
Clostridium perfringens ATCC 13124,PRJNA57901,Firmicutes,Clostridia,3.25668,28.4,NC_008261.1,CP000246.1,-,-,-,1,3016,2876,7/25/2006,6/10/2013,Complete
Listeria monocytogenes SLCC2479,PRJEA175108,Firmicutes,Bacilli,2.97217,38,NC_018589.1,FR733649.1,-,-,-,1,3018,2935,9/10/2012,6/27/2013,Complete
Desulfobacca acetoxidans DSM 11109,PRJNA65785,Proteobacteria,delta/epsilon subdivisions,3.28254,52.9,NC_015388.1,CP002629.1,-,-,-,1,3022,2866,4/7/2011,7/6/2013,Complete
Natranaerobius thermophilus JW/NM-WN-LF,PRJNA59001,Firmicutes,Clostridia,3.19145,36.287,NC_010718.1,CP001034.1,"NC_010724.1,NC_010715.1","CP001036.1,CP001035.1",-,3,3024,2906,4/9/2008,1/28/2014,Complete
Listeria monocytogenes SLCC2755,PRJNA52455,Firmicutes,Bacilli,3.02393,38.0599,NC_018587.1,FR733646.1,NC_014495.1,FR667692.1,-,2,3025,2940,9/8/2010,6/27/2013,Complete
Listeria monocytogenes WSLC1001,PRJNA236721,Firmicutes,Bacilli,2.95124,38,-,CP007160.1,-,-,-,1,3025,2916,2/12/2014,2/12/2014,Complete
Coprococcus catus GD/7,PRJNA197174,Firmicutes,Clostridia,3.5227,43.2,NC_021009.1,FP929038.1,-,-,-,1,3027,2972,3/25/2010,8/28/2013,Complete
Lacinutrix sp. 5H-3-7-4,PRJNA68067,Bacteroidetes/Chlorobi group,Bacteroidetes,3.29617,30.8,NC_015638.1,CP002825.1,-,-,-,1,3027,2967,6/3/2011,7/6/2013,Complete
Lactobacillus plantarum JDM1,PRJNA59361,Firmicutes,Bacilli,3.19776,44.7,NC_012984.1,CP001617.1,-,-,-,1,3028,2947,7/17/2009,8/27/2013,Complete
Mahella australiensis 50-1 BON,PRJNA66917,Firmicutes,Clostridia,3.13597,43.5,NC_015520.1,CP002360.1,-,-,-,1,3032,2870,5/12/2011,7/17/2013,Complete
Lactobacillus rhamnosus Lc 705,PRJNA59315,Firmicutes,Bacilli,3.03311,46.6319,NC_013199.1,FM179323.1,NC_013200.1,FM179324.1,-,2,3033,2957,9/2/2009,6/8/2013,Complete
Dehalobacter sp. DCA,PRJNA177715,Firmicutes,Clostridia,3.06995,44.6,NC_018866.1,CP003869.1,-,-,-,1,3038,2978,10/16/2012,6/11/2013,Complete
Listeria monocytogenes 08-5923,PRJNA43727,Firmicutes,Bacilli,2.99905,38,NC_013768.1,CP001604.1,-,-,-,1,3039,2966,1/20/2010,6/10/2013,Complete
Dehalobacter sp. CF,PRJNA177714,Firmicutes,Clostridia,3.09205,44.3,NC_018867.1,CP003870.1,-,-,-,1,3040,2980,10/16/2012,12/11/2013,Complete
Ilyobacter polytropus DSM 2926,PRJNA59769,Fusobacteria,Fusobacteriia,3.13231,34.3553,NC_014632.1,CP002281.1,"NC_014634.1,NC_014633.1","CP002283.1,CP002282.1",-,3,3041,2880,10/22/2010,7/6/2013,Complete
Legionella pneumophila subsp. pneumophila str. Thunder Bay,PRJNA206517,Proteobacteria,Gammaproteobacteria,3.45517,38.2,NC_021350.1,CP003730.1,-,-,-,1,3043,2998,6/3/2013,7/14/2013,Complete
Listeria monocytogenes J0161,PRJNA54459,Firmicutes,Bacilli,3.00046,37.9,NC_017545.1,CP002001.1,-,-,-,1,3045,2955,9/7/2011,11/22/2013,Complete
Enterococcus faecalis D32,PRJNA171261,Firmicutes,Bacilli,3.0625,37.4365,NC_018221.1,CP003726.1,"NC_018223.1,NC_018222.1","CP003728.1,CP003727.1",-,3,3046,2965,7/24/2012,6/9/2013,Complete
Truepera radiovictrix DSM 17093,PRJNA49533,Deinococcus-Thermus,Deinococci,3.2604,68.1,NC_014221.1,CP002049.1,-,-,-,1,3046,2945,5/28/2010,1/28/2014,Complete
Krokinobacter sp. 4H-3-7-5,PRJNA66593,Bacteroidetes/Chlorobi group,Bacteroidetes,3.38999,37.3,NC_015496.1,CP002528.1,-,-,-,1,3049,2978,5/5/2011,7/6/2013,Complete
Acetobacter pasteurianus IFO 3283-01-42C,PRJNA158377,Proteobacteria,Alphaproteobacteria,3.24799,53.1587,NC_017150.1,AP011163.1,"NC_017107.1,NC_017106.1,NC_017152.1,NC_017105.1,NC_017104.1,NC_017151.1","AP011168.1,AP011167.1,AP011169.1,AP011165.1,AP011164.1,AP011166.1",-,7,3050,2984,8/27/2009,6/8/2013,Complete
Sideroxydans lithotrophicus ES-1,PRJNA46801,Proteobacteria,Betaproteobacteria,3.00366,57.5,NC_013959.1,CP001965.1,-,-,-,1,3050,2980,3/26/2010,1/28/2014,Complete
butyrate-producing bacterium SS3/4,PRJNA39155,Firmicutes,Clostridia,3.60102,48.2,-,-,-,-,-,1,3051,2993,3/25/2010,7/5/2010,Complete
Methylococcus capsulatus str. Bath,PRJNA57607,Proteobacteria,Gammaproteobacteria,3.30456,63.6,NC_002977.6,AE017282.2,-,-,-,1,3052,2956,6/25/2001,6/10/2013,Complete
Bacillus coagulans 2-6,PRJNA68053,Firmicutes,Bacilli,3.07308,47.3,NC_015634.1,CP002472.1,-,-,-,1,3052,2971,6/10/2011,7/6/2013,Complete
Listeria monocytogenes serotype 4b str. LL195,PRJNA182103,Firmicutes,Bacilli,2.90466,38,NC_019556.1,HF558398.1,-,-,-,1,3056,2838,11/21/2012,7/7/2013,Complete
Corynebacterium glutamicum ATCC 13032,PRJNA57905,Actinobacteria,Actinobacteria,3.3094,53.8,NC_003450.3,BA000036.3,-,-,-,1,3057,2959,3/12/2001,1/14/2014,Complete
Legionella pneumophila str. Lens,PRJNA58209,Proteobacteria,Gammaproteobacteria,3.40552,38.4,NC_006369.1,CR628337.1,NC_006366.1,CR628339.1,-,2,3058,2934,10/3/2004,5/23/2013,Complete
Listeria monocytogenes HCC23,PRJNA59203,Firmicutes,Bacilli,2.97621,38.2,NC_011660.1,CP001175.1,-,-,-,1,3059,2974,12/12/2008,1/30/2014,Complete
Erythrobacter litoralis HTCC2594,PRJNA58299,Proteobacteria,Alphaproteobacteria,3.0524,63.1,NC_007722.1,CP000157.1,-,-,-,1,3059,3011,1/11/2006,12/11/2013,Complete
Listeria monocytogenes M7,PRJNA162131,Firmicutes,Bacilli,2.97616,38.2,NC_017537.1,CP002816.1,-,-,-,1,3062,2977,6/14/2011,7/6/2013,Complete
Corynebacterium efficiens YS-314,PRJNA62905,Actinobacteria,Actinobacteria,3.2195,62.9346,NC_004369.1,BA000035.2,"NC_004319.1,NC_004320.1","AP005225.1,AP005226.1",-,3,3064,2994,10/1/2002,5/23/2013,Complete
Denitrovibrio acetiphilus DSM 12809,PRJNA46657,Deferribacteres,Deferribacteres,3.22208,42.5,NC_013943.1,CP001968.1,-,-,-,1,3068,2964,3/11/2010,1/28/2014,Complete
Lactobacillus casei BL23,PRJNA59237,Firmicutes,Bacilli,3.0792,46.3,NC_010999.1,FM177140.1,-,-,-,1,3072,2997,6/19/2008,8/27/2013,Complete
Listeria monocytogenes SLCC2372,PRJEA174872,Firmicutes,Bacilli,3.02291,37.9586,NC_018588.1,FR733648.1,NC_018889.1,FR667691.1,-,2,3075,2990,9/8/2010,6/27/2013,Complete
Isoptericola variabilis 225,PRJNA67501,Actinobacteria,Actinobacteria,3.30774,73.9,NC_015588.1,CP002810.1,-,-,-,1,3079,2881,5/26/2011,7/6/2013,Complete
Thermincola potens JR,PRJNA48823,Firmicutes,Clostridia,3.15742,45.9,NC_014152.1,CP002028.1,-,-,-,1,3082,2949,5/13/2010,1/28/2014,Complete
Listeria monocytogenes J1-220,PRJNA179735,Firmicutes,Bacilli,3.03227,37.9,NC_021830.1,CP006047.1,-,-,-,1,3083,2985,7/16/2013,11/26/2013,Complete
Flavobacterium branchiophilum FL-15,PRJNA73421,Bacteroidetes/Chlorobi group,Bacteroidetes,3.56329,32.9006,NC_016001.1,FQ859183.1,NC_018751.1,FQ859182.1,-,2,3087,2872,9/6/2011,6/9/2013,Complete
Clostridium cf. saccharolyticum K10,PRJNA197201,Firmicutes,Clostridia,3.76978,50.2,NC_021047.1,FP929037.1,-,-,-,1,3094,3043,3/25/2010,8/28/2013,Complete
Methylophaga nitratireducenticrescens,PRJNA162947,Proteobacteria,Gammaproteobacteria,3.13719,44.7,NC_017857.1,CP003390.1,-,-,-,1,3096,3022,5/3/2012,1/30/2014,Complete
Corynebacterium glutamicum SCgG1,PRJNA207285,Actinobacteria,Actinobacteria,3.35062,53.9,NC_021351.1,CP004047.1,-,-,-,1,3101,3023,6/3/2013,9/25/2013,Complete
Clostridium thermocellum DSM 1313,PRJNA161989,Firmicutes,Clostridia,3.56162,39.1,NC_017304.1,CP002416.1,-,-,-,1,3102,2911,1/4/2011,11/5/2013,Complete
Corynebacterium glutamicum SCgG2,PRJNA207286,Actinobacteria,Actinobacteria,3.35062,53.9,NC_021352.1,CP004048.1,-,-,-,1,3103,3025,6/3/2013,11/22/2013,Complete
Meiothermus ruber DSM 1279,PRJNA46661,Deinococcus-Thermus,Deinococci,3.09746,63.4,NC_013946.1,CP001743.1,-,-,-,1,3105,3014,3/3/2010,12/11/2013,Complete
Meiothermus ruber DSM 1279,PRJNA198526,Deinococcus-Thermus,Deinococci,3.09888,63.4,NC_021081.1,CP005385.1,-,-,-,1,3109,3056,4/22/2013,1/8/2014,Complete
Candidatus Chloracidobacterium thermophilum B,PRJNA73587,Fibrobacteres/Acidobacteria group,Acidobacteria,3.69537,61.3452,"NC_016024.1,NC_016025.1","CP002514.1,CP002515.1",-,-,-,2,3109,3053,9/23/2011,6/11/2013,Complete
Clostridium botulinum BKT015925,PRJNA66203,Firmicutes,Clostridia,3.20759,28.2433,NC_015425.1,CP002410.1,"NC_015419.1,NC_015427.1,NC_015417.1,NC_015418.1,NC_015426.1","CP002415.1,CP002414.1,CP002411.1,CP002413.1,CP002412.1",-,6,3116,2994,4/18/2011,7/6/2013,Complete
Acetobacter pasteurianus IFO 3283-32,PRJNA158375,Proteobacteria,Alphaproteobacteria,3.33704,53.0701,NC_017111.1,AP011156.1,"NC_017134.1,NC_017102.1,NC_017149.1,NC_017112.1,NC_017135.1,NC_017103.1","AP011157.1,AP011160.1,AP011158.1,AP011162.1,AP011159.1,AP011161.1",-,7,3118,3046,8/27/2009,6/8/2013,Complete
Acetobacter pasteurianus IFO 3283-12,PRJNA158379,Proteobacteria,Alphaproteobacteria,3.33699,53.0701,NC_017108.1,AP011170.1,"NC_017113.1,NC_017115.1,NC_017137.1,NC_017116.1,NC_017114.1,NC_017136.1","AP011172.1,AP011174.1,AP011176.1,AP011175.1,AP011173.1,AP011171.1",-,7,3118,3046,8/27/2009,6/8/2013,Complete
Paludibacter propionicigenes WB4,PRJNA60725,Bacteroidetes/Chlorobi group,Bacteroidetes,3.6855,38.9,NC_014734.1,CP002345.1,-,-,-,1,3118,3020,11/23/2010,1/9/2014,Complete
Acetobacter pasteurianus IFO 3283-07,PRJNA158381,Proteobacteria,Alphaproteobacteria,3.33843,53.0701,NC_017121.1,AP011135.1,"NC_017122.1,NC_017143.1,NC_017110.1,NC_017144.1,NC_017124.1,NC_017123.1","AP011137.1,AP011136.1,AP011138.1,AP011140.1,AP011141.1,AP011139.1",-,7,3119,3047,8/27/2009,6/8/2013,Complete
Acetobacter pasteurianus IFO 3283-03,PRJNA158373,Proteobacteria,Alphaproteobacteria,3.33967,53.07,NC_017100.1,AP011128.1,"NC_017142.1,NC_017101.1,NC_017109.1,NC_017118.1,NC_017119.1,NC_017120.1","AP011132.1,AP011129.1,AP011134.1,AP011130.1,AP011131.1,AP011133.1",-,7,3120,3048,8/27/2009,6/8/2013,Complete
Acetobacter pasteurianus IFO 3283-22,PRJNA158383,Proteobacteria,Alphaproteobacteria,3.33965,53.07,NC_017125.1,AP011142.1,"NC_017127.1,NC_017128.1,NC_017117.1,NC_017126.1,NC_017145.1,NC_017129.1","AP011145.1,AP011147.1,AP011143.1,AP011144.1,AP011146.1,AP011148.1",-,7,3120,3048,8/27/2009,6/8/2013,Complete
Acetobacter pasteurianus IFO 3283-26,PRJNA158531,Proteobacteria,Alphaproteobacteria,3.33968,53.07,NC_017146.1,AP011149.1,"NC_017132.1,NC_017131.1,NC_017147.1,NC_017148.1,NC_017133.1,NC_017130.1","AP011153.1,AP011151.1,AP011152.1,AP011154.1,AP011155.1,AP011150.1",-,7,3120,3048,8/27/2009,6/8/2013,Complete
Acetobacter pasteurianus IFO 3283-01,PRJNA59279,Proteobacteria,Alphaproteobacteria,3.34025,53.0701,NC_013209.1,AP011121.1,"NC_013211.1,NC_013215.1,NC_013213.1,NC_013214.1,NC_013212.1,NC_013210.1","AP011123.1,AP011127.1,AP011125.1,AP011126.1,AP011124.1,AP011122.1",-,7,3121,3049,8/27/2009,6/27/2013,Complete
Sphaerochaeta globosa str. Buddy,PRJNA63633,Spirochaetes,Spirochaetia,3.31647,48.9,NC_015152.1,CP002541.1,-,-,-,1,3122,3017,2/24/2011,7/6/2013,Complete
Sulfuricella denitrificans skB26,PRJDA170240,Proteobacteria,Betaproteobacteria,3.21721,56.1162,NC_022357.1,AP013066.1,NC_022358.1,AP013067.1,-,2,3124,3073,6/5/2013,9/16/2013,Complete
Lactobacillus paracasei N1115,PRJNA234304,Firmicutes,Bacilli,3.06428,46.4634,-,CP007122.1,-,"CP007123.1,CP007124.1,CP007126.1,CP007125.1",-,5,3126,2985,2/14/2014,2/14/2014,Complete
Segniliparus rotundus DSM 44985,PRJNA49049,Actinobacteria,Actinobacteria,3.15753,66.8,NC_014168.1,CP001958.1,-,-,-,1,3127,3006,5/18/2010,1/28/2014,Complete
Fibrobacter succinogenes subsp. succinogenes S85,PRJNA161919,Fibrobacteres/Acidobacteria group,Fibrobacteres,3.843,48,NC_017448.1,CP002158.1,-,-,-,1,3131,2871,8/6/2010,6/11/2013,Complete
Corynebacterium variabile DSM 44702,PRJNA62003,Actinobacteria,Actinobacteria,3.43301,67.1,NC_015859.1,CP002917.1,-,-,-,1,3131,3039,7/19/2011,1/30/2014,Complete
Brucella abortus S19,PRJNA58873,Proteobacteria,Alphaproteobacteria,3.28394,57.2354,"NC_010742.1,NC_010740.1","CP000887.1,CP000888.1",-,-,-,2,3133,3000,5/22/2008,6/27/2013,Complete
Maricaulis maris MCS10,PRJNA58689,Proteobacteria,Alphaproteobacteria,3.36878,62.7,NC_008347.1,CP000449.1,-,-,-,1,3133,3063,9/14/2006,1/28/2014,Complete
Prochlorococcus marinus str. MIT 9303,PRJNA58305,Cyanobacteria,Prochlorales,2.68268,50,NC_008820.1,CP000554.1,-,-,-,1,3136,2997,1/22/2007,6/10/2013,Complete
Heliobacterium modesticaldum Ice1,PRJNA58279,Firmicutes,Clostridia,3.07541,57,NC_010337.2,CP000930.2,-,-,-,1,3137,2999,2/11/2008,1/30/2014,Complete
Candidatus Methylomirabilis oxyfera,PRJNA161981,unclassified Bacteria,candidate division NC10,2.75285,58.6,NC_013260.1,FP565575.1,-,-,-,1,3139,3065,9/16/2009,8/28/2013,Complete
Exiguobacterium sp. AT1b,PRJNA59093,Firmicutes,Bacilli,2.99989,48.5,NC_012673.1,CP001615.1,-,-,-,1,3141,3020,5/5/2009,1/28/2014,Complete
Deinococcus geothermalis DSM 11300,PRJNA58275,Deinococcus-Thermus,Deinococci,3.24702,66.4409,NC_008025.1,CP000359.1,"NC_009939.1,NC_008010.2","CP000856.1,CP000358.2",-,3,3142,3054,5/4/2006,1/28/2014,Complete
Corynebacterium glutamicum R,PRJNA58897,Actinobacteria,Actinobacteria,3.3633,54.0971,NC_009342.1,AP009044.1,NC_009343.1,AP009045.1,-,2,3153,3077,4/5/2007,6/6/2013,Complete
Exiguobacterium sibiricum 255-15,PRJNA58053,Firmicutes,Bacilli,3.04079,47.6793,NC_010556.1,CP001022.1,"NC_010549.1,NC_010550.1","CP001023.1,CP001024.1",-,3,3155,3015,4/3/2008,12/11/2013,Complete
Enterococcus faecalis 62,PRJNA159663,Firmicutes,Bacilli,3.13082,37.3617,"NC_017732.1,NC_017312.1","CP002495.1,CP002491.1","NC_017313.1,NC_017315.1,NC_017314.1","CP002493.1,CP002494.1,CP002492.1",-,5,3157,3075,2/16/2011,6/8/2013,Complete
Listeria monocytogenes 08-5578,PRJNA43671,Firmicutes,Bacilli,3.10934,37.9653,NC_013766.1,CP001602.1,NC_013767.1,CP001603.1,-,2,3161,3088,1/20/2010,6/8/2013,Complete
Thermobifida fusca YX,PRJNA57703,Actinobacteria,Actinobacteria,3.64225,67.5,NC_007333.1,CP000088.1,-,-,-,1,3161,3087,8/8/2005,1/28/2014,Complete
Desulfitobacterium metallireducens DSM 15288,PRJNA61369,Firmicutes,Clostridia,3.17607,41.9,-,CP007032.1,-,-,-,1,3163,3046,1/3/2014,1/3/2014,Complete
Clavibacter michiganensis subsp. michiganensis NCPPB 382,PRJNA61625,Actinobacteria,Actinobacteria,3.39524,72.5311,NC_009480.1,AM711867.1,"NC_009479.1,NC_009478.1","AM711866.1,AM711865.1",-,3,3167,3078,5/18/2007,6/6/2013,Complete
Lactobacillus plantarum 16,PRJNA209042,Firmicutes,Bacilli,3.36102,44.3093,NC_021514.1,CP006033.1,"NC_021525.1,NC_021526.1,NC_021516.1,NC_021515.1,NC_021519.1,NC_021517.1,NC_021518.1,NC_021527.1,NC_021520.1,NC_021528.1","CP006035.1,CP006037.1,CP006036.1,CP006034.1,CP006041.1,CP006038.1,CP006039.1,CP006040.1,CP006043.1,CP006042.1",-,11,3171,3088,6/18/2013,8/7/2013,Complete
Pseudoxanthomonas suwonensis 11-1,PRJNA62105,Proteobacteria,Gammaproteobacteria,3.41905,70.2,NC_014924.1,CP002446.1,-,-,-,1,3172,3070,1/12/2011,7/6/2013,Complete
Lactobacillus plantarum WCFS1,PRJNA62911,Firmicutes,Bacilli,3.34862,44.4501,NC_004567.2,AL935263.2,"NC_006376.1,NC_006377.1,NC_006375.1","CR377165.1,CR377166.1,CR377164.1",-,4,3174,3063,2/7/2003,7/22/2013,Complete
Propionibacterium propionicum F0230a,PRJNA170533,Actinobacteria,Actinobacteria,3.44936,66.1,NC_018142.1,CP002734.1,-,-,-,1,3175,2938,7/12/2012,11/20/2013,Complete
Lactobacillus casei LOCK919,PRJNA210959,Firmicutes,Bacilli,3.14337,46.1782,NC_021721.1,CP005486.1,NC_021722.1,CP005487.1,-,2,3178,3103,7/8/2013,1/30/2014,Complete
Lactobacillus plantarum subsp. plantarum ST-III,PRJNA53537,Firmicutes,Bacilli,3.30794,44.5045,NC_014554.1,CP002222.1,NC_014558.2,CP002223.2,-,2,3182,3038,10/1/2010,6/8/2013,Complete
Legionella pneumophila subsp. pneumophila,PRJNA170534,Proteobacteria,Gammaproteobacteria,3.49254,38.4,NC_018140.1,FQ958211.1,-,-,-,1,3184,3059,7/11/2012,8/22/2013,Complete
